id,marca,nombre,coste,margen_pactado,activo
CAT-DUN-032,D-uñas,PARED AMARILLA SIN MAPA 120 X 300,100.0,0.54,TRUE
CAT-DUN-033,D-uñas,METACRILATO HOJAS E ISOTIPO 115 X300,247.0,0.3117,TRUE
CAT-DUN-034,D-uñas,90 X 60,64.05,0.1523,TRUE
CAT-DUN-035,D-uñas,100 X 111,78.57,0.6049,TRUE
CAT-DUN-036,D-uñas,200 X 100,111.58,0.691,TRUE
CAT-DUN-037,D-uñas,VIAJE HASTA 250 KM,175.0,0.37,TRUE
CAT-DUN-038,D-uñas,VIAJE MÁS DE 250 KM,340.0,0.25,TRUE
CAT-DUN-039,D-uñas,MONTAJE MADRID,60.0,0.69,TRUE
CAT-DUN-040,D-uñas,MONTAJE HASTA 250 KM,250.0,0.48,TRUE
CAT-DUN-041,D-uñas,MONTAJE MÁS DE 250 KM,600.0,0.27,TRUE
CAT-DUN-042,D-uñas,MONTAJE ADICIONAL,288.0,0.48,TRUE
CAT-EXM-043,EXM,ROTULO SOLO TEXTO,723.82,0.6855,TRUE
CAT-EXM-044,EXM,RÓTULO CON META (ESPECIAL LEDS) + BANDEJA CHAPA PERFORADA 3 METROS,1207.0,0.5625,TRUE
CAT-EXM-045,EXM,ROTULO CON SOPORTE TECHO + Meta trasero,977.0,0.6062,TRUE
CAT-EXM-046,EXM,LAMAS + SOPORTE TV,774.0,0.0,TRUE
CAT-EXM-047,EXM,MOSTRADOR 155 DE LARGO + LOGO LUMINOSO,374.43,0.5315,TRUE
CAT-EXM-048,EXM,MOSTRADOR 100 DE LARGO + LOGO LUMINOSO,354.8,0.5454,TRUE
CAT-EXM-049,EXM,MOSTRADOR 70 DE LARGO + LOGO LUMINOSO,345.31,0.4224,TRUE
CAT-EXM-050,EXM,HAIR LAB ESTRUCTURA DE 150 CM + 2 MUEBLES CAJONES+1 MUEBLE PUERTAS,609.78,0.5156,TRUE
CAT-EXM-051,EXM,MUEBLE TV CON LETRAS PVC 150 cm,249.11,0.4997,TRUE
CAT-EXM-052,EXM,MUEBLE TV 150 cm,208.86,0.4979,TRUE
CAT-EXM-053,EXM,TOCADOR SUELO,268.0,0.5854,TRUE
CAT-EXM-054,EXM,LUMINOSO HAIR LAB ( módulo de 50 cm + letras luminosas Hair lab),200.56,0.75,TRUE
CAT-EXM-055,EXM,MUEBLE TÉCNICO ALTO Y BAJO DE 88 CM DE ANCHO,344.58,0.48,TRUE
CAT-EXM-056,EXM,ESTRUCTRURA CURVA DE 4 MÓDULOS DE 86 CM,2281.0,0.521,TRUE
CAT-EXM-057,EXM,ESTRUCTRURA RECTA DE 3 MÓDULOS DE 86 CM,1822.0,0.49,TRUE
CAT-EXM-058,EXM,VITRINA,979.92,0.3,TRUE
CAT-EXM-059,EXM,ROTULO MADERA CON BOMBILLAS,726.0,0.4,TRUE
CAT-EXM-060,EXM,ESCULTURA,100.0,0.607,TRUE
CAT-EXM-061,EXM,CARRITO 4 CAJONES,238.79,0.13,TRUE
CAT-EXM-062,EXM,BANDEJA,80.0,0.2653,TRUE
CAT-EXM-063,EXM,MUEBLE NEVERA,110.0,0.4975,TRUE
CAT-EXM-064,EXM,MUEBLE ALMACENAJE DE 50 x 254,216.94,0.5892,TRUE
CAT-EXM-065,EXM,MUEBLE BAJO HAIR LAB PUERTAS,162.34,0.4011,TRUE
CAT-EXM-066,EXM,MUEBLE BAJO HAIR LAB CAJONES,116.25,0.698,TRUE
CAT-EXM-067,EXM,MUEBLE TÉCNICO DE 44 CM ( ALTO Y BAJO),251.56,0.2402,TRUE
CAT-EXM-068,EXM,MONTAJES HORARIO COMERCIAL,142.48,0.8205,TRUE
CAT-NF-069,Nails Factory,puesto alto de 58 y 26 de almacenaje,134.68,0.7674,TRUE
CAT-NF-070,Nails Factory,Puesto adptado de 59,90.94,0.7674,TRUE
CAT-NF-071,Nails Factory,Caja de 75,215.8,0.6969,TRUE
CAT-NF-072,Nails Factory,Frontal caja pequeño,247.2,0.6969,TRUE
CAT-NF-073,Nails Factory,Frontal caja mediano,301.92,0.6969,TRUE
CAT-NF-074,Nails Factory,Frontal caja Grande,362.99,0.6969,TRUE
CAT-NF-075,Nails Factory,Papeleras,7.0,0.5073,TRUE
CAT-NF-076,Nails Factory,Montaje muebles accesorios,50.0,0.5073,TRUE
CAT-NF-077,Nails Factory,Montaje vinilos,80.0,0.6044,TRUE
CAT-NF-078,Nails Factory,Material vario,70.0,0.4017,TRUE
